accX;accY;accZ;gyroX;gyroY;gyroZ;timestamp;Activity
-0.496517;3.785628;8.954828;-0.142849;-0.126159;-0.022539;34:22.9;1
-0.462388;3.869603;9.281898;0.084349;0.096695;0.09213;34:23.0;1
-0.296084;3.820505;8.930728;0.061763;0.051543;0.071287;34:23.1;1
-0.469723;3.89011;8.744067;0.007641;0.028679;0.109433;34:23.2;1
-0.472418;4.109105;8.941207;-0.12364;0.099057;0.051943;34:23.3;1
-0.837359;4.051176;8.473878;0.031954;-0.03942;0.144715;34:23.4;1
-1.093476;4.69828;8.90094;-0.291323;0.145343;-0.033145;34:23.5;1
-1.131347;4.305197;8.348439;-0.136222;0.024592;0.25602;34:23.6;1
-0.628693;4.660259;8.403974;-0.106731;0.015743;0.084673;34:23.7;1
-0.941392;4.661007;8.276888;0.083646;0.004052;0.138814;34:23.8;1
-0.943488;4.989275;8.178243;0.013324;-0.088421;0.154715;34:23.9;1
-1.027912;5.349426;9.476793;0.161111;-0.374704;0.323159;34:24.0;1
-0.349823;5.052743;10.32942;-0.591949;0.013053;-0.137447;34:24.1;1
0.214654;2.812801;10.945539;0.743143;0.122592;-0.392463;34:24.2;1
-0.020208;2.852618;8.148006;0.119111;-0.098701;-0.457371;34:24.3;1
-0.421374;3.340903;7.382199;0.16077;-0.190773;-0.194502;34:24.4;1
-0.42302;4.229904;7.092252;-0.105347;-0.156375;-0.195311;34:24.5;1
-0.248783;4.797224;7.952962;0.149146;-0.055042;0.056747;34:24.6;1
-0.355211;5.781727;9.558822;0.240357;0.281866;0.271796;34:24.7;1
-1.383273;6.377039;10.746004;-0.290284;-0.213951;0.155169;34:24.8;1
-1.249751;3.675756;9.419911;0.043724;0.024281;0.411537;34:24.9;1
-0.934656;3.33252;8.022268;-0.076435;-0.111235;0.23824;34:25.0;1
-0.398771;3.499872;7.269333;0.044423;0.00459;0.036121;34:25.1;1
-0.18292;4.587211;7.212302;-0.038079;0.007;-0.10087;34:25.2;1
-0.536933;5.542824;8.145611;-0.183652;-0.365386;-0.034919;34:25.3;1
-0.883762;5.764064;10.28586;-0.034997;-0.431528;0.251534;34:25.4;1
0.015717;3.748655;10.907967;0.617926;-0.274882;0.141323;34:25.5;1
1.146765;3.360063;9.385183;-0.406633;0.398502;-0.664374;34:25.6;1
-0.400118;3.864963;7.038214;0.147781;0.069518;-0.200914;34:25.7;1
-0.404908;4.265081;6.483917;-0.003924;-0.039063;0.010235;34:25.8;1
-0.097747;5.23192;7.667056;0.137773;-0.107127;0.068916;34:25.9;1
-0.251477;5.871241;10.23332;0.224357;0.729595;0.218884;34:26.0;1
-0.715662;5.716313;11.534863;0.225964;0.331369;0.296612;34:26.1;1
-1.272654;4.637955;8.909024;-0.481091;-0.169801;0.266147;34:26.2;1
-0.61537;3.50571;8.329878;0.116058;0.449997;0.211817;34:26.3;1
-0.39937;3.970044;6.702911;0.125507;-0.038158;0.106609;34:26.4;1
-0.340392;5.014872;7.177275;0.048572;-0.228737;0.035614;34:26.5;1
-0.308658;5.716762;9.421558;-0.102534;-0.081143;0.148139;34:26.6;1
0.37018;5.875731;11.040741;-0.523546;0.19106;-0.167744;34:26.7;1
0.114662;3.543731;9.455088;0.136473;-0.483893;-0.351625;34:26.8;1
0.279469;3.644022;8.824749;0.233669;0.198499;-0.413048;34:26.9;1
0.032033;4.274361;6.244864;-0.11946;-0.046744;-0.309503;34:27.0;1
-0.080233;4.742438;7.139104;0.108553;0.039904;-0.082956;34:27.1;1
-0.238454;6.067333;8.129445;-0.418511;-0.278923;-0.067779;34:27.2;1
-1.72636;5.3617;9.512868;0.010501;-0.377697;0.655088;34:27.3;1
-0.184566;3.982468;9.964928;0.309733;0.194806;0.090428;34:27.4;1
-1.129701;3.967649;8.835526;-0.288189;0.159232;0.042466;34:27.5;1
-0.570763;3.758684;7.440428;-0.034409;0.152137;0.088603;34:27.6;1
-0.3365;4.311185;7.225624;0.105774;-0.013978;0.080137;34:27.7;1
-0.352367;5.306166;7.765701;-0.003429;-0.438742;-0.026959;34:27.8;1
-0.725242;5.367239;10.170301;-0.051338;-0.234638;0.165963;34:27.9;1
-0.008832;4.337231;11.586955;0.266625;0.066346;0.216287;34:28.0;1
1.035547;3.396287;8.707992;-0.243558;0.37228;-0.618849;34:28.1;1
-0.481549;3.840863;7.058422;0.047565;-0.057148;-0.266949;34:28.2;1
-0.166903;4.509971;6.918613;-0.049855;-0.138238;-0.117938;34:28.3;1
